X,Class,cpuReq,gpuReq,64M-2way,128M-2way
1,Qg1,41461320,1290160580,0.012963,0.001247
2,Qg2,81559368,2270712640,0.012903,0.000246
3,Qg3,34644627,1006951650,0.013776,0.000246
4,Qg4,19287824,48937143,0.010642,0.014618
5,Qg5,12896895,69877365,-0.000001,0.057724
6,Qg6,18042788,48865425,0.00283,0.02292
7,Qg7,30370587,3920891820,0.002985,0
8,Qg8,34777469,3658296860,0.009431,0
9,Qg9,21461299,31596642,0.00151,0
10,Qg10,29651459,34689796,0.001186,0.001
11,Qg11,14137188,15589052,0.030473,0
12,Qg12,122569031,156000874,0.001423,0.0001
13,Qg13,30819461,88861482,0.001995,0.273806
14,AVG,37821486,972417795,0.0078550769,0.0286082308
