X,Class,naive,bypass,chaining
1,Qg1,1.7102134412,3.0847847579,3.0233512422
2,Qg2,1.7102173693,3.1627531107,3.1695015089
3,Qg3,1.4089431124,2.924707082,2.5650788425
4,Qg4,1.3070855297,1.3345640486,1.2940234759
5,Qg5,1.4886125742,1.5078586255,1.3636371839
6,Qg6,1.3002144367,1.3266972404,1.3179954151
7,Qg7,1.5943383721,4.4700373309,4.2247694132
8,Qg8,1.6147724355,4.4966459103,4.2551431014
9,Qg9,1.6181339197,1.950863491,1.8787497896
10,Qg10,1.8248653507,2.3273869038,2.050675257
11,Qg11,1.1056068677,1.1144006166,1.097630723
12,Qg12,1.4293605455,1.432214329,1.4544461893
13,Qg13,2.2859614584,3.7862302928,3.318759782
14,GEO,1.5452118239,2.2680146406,2.1500182582
