X,Class,naive,bypass,chaining
1,Qg1,1.3932022244,1.2309015859,1.1293067218
2,Qg2,0,1.2308828517,1.1087192959
3,Qg3,1.3135625097,1.1794899555,0.9815515399
4,Qg4,1.4804714593,1.4919297753,1.1958018333
5,Qg5,1.4385688848,1.4284921447,1.1082804987
6,Qg6,1.4850051786,1.4963702144,1.2163542543
7,Qg7,0,1.4929279519,1.4216422437
8,Qg8,0,1.4609986728,1.3760939223
9,Qg9,1.000733172,0.9953761799,0.9910683141
10,Qg10,1.0044959438,0.9906190894,0.9726615542
11,Qg11,1.0581342192,1.0434051711,0.9969187217
12,Qg12,1.2640453363,1.2841369626,1.0314397422
13,Qg13,0,1.0954181352,1.0281568716
14,GEO,,1.248936899,1.1114526092
