X,Class,Naive,PrIS,ByE,ByE+PrIS,Chaining+PrIS
1,Qg1,1,1.7206502872,1.14878872,1.8090805581,1.7177770462
5,Qg2,1,1.751753358,1.0981583643,1.7897787676,1.7721215352
9,Qg3,1,1.6426584006,1.2708612308,2.0217681323,1.8409170219
6,Qg4,1,1.0181373954,1.0161749476,1.0351493955,1.098175325
7,Qg5,1,1.0037715917,1.0136815161,1.0239201784,1.0999017849
8,Qg6,1,1.0026011022,1.01161595,1.0190054504,1.0714556208
11,Qg7,1,2.5159909917,1.0923661525,2.7993833017,2.6990008042
12,Qg8,1,2.4472735446,1.0997104569,2.7487445511,2.4380588248
2,Qg9,1,1.1009018708,1.2112534589,1.2665276137,1.2378647908
13,Qg10,1,1.1186338529,1.234475836,1.3302045936,1.275611742
3,Qg11,1,1.011429607,1.0037069502,1.0168369105,0.9957842263
4,Qg12,1,1.0051510363,0.9952198908,1.0011307223,1.0056816143
10,Qg13,1,1.2770226995,1.4938931199,1.8375107835,1.6235283198
14,GEOMEAN,1,1.3509895976,1.1222368179,1.4854451574,1.4475454782
