X,Class,naive,PrIS,ByE,ByE+PrIS,Chaining+PrIS
1,Qg1,1.335560111,1.099489402,1.3914436632,1.2226922099,1.1579023245
2,Qg2,1.3475977217,1.0817114137,1.3985860446,1.2249035554,1.1606743144
3,Qg3,1.2617469063,0.9677786085,1.3516135227,1.2223014989,1.1234863142
4,Qg4,1.4537637137,1.4179111009,1.4905585954,1.4630557647,1.48882319
5,Qg5,1.3839875736,1.334619544,1.4493413225,1.4082111698,1.3357667288
6,Qg6,1.4594820926,1.42658684,1.492595848,1.466429332,1.4998368251
7,Qg7,1.5053341765,1.351505481,1.5856245238,1.4780395268,1.4573226062
8,Qg8,1.4940178567,1.3053752752,1.5745133979,1.438558189,1.3045867371
9,Qg9,0.9972502871,0.9848014581,0.9975343185,0.9924270684,0.9929758552
10,Qg10,1.0041929173,0.961290254,1.0029345665,0.9813183127,0.9806748104
11,Qg11,0.9576439765,0.9246737464,0.972492136,0.9419209736,0.9218644289
12,Qg12,0.9941809373,0.9485214652,1.0096172015,0.9344537282,0.974414917
13,Qg13,1.1460285203,1.008378786,1.1633806013,1.1099798812,1.0936421235
14,GEOMEAN,1.2400030326,1.1243657659,1.2777465046,1.2041390972,1.1755941529
