X,Class,64M-direct,64M-2way,128M-2way
1,Qg1,0.864869,0.877832,0.879079
2,Qg2,0.864912,0.877815,0.878061
3,Qg3,0.863954,0.87773,0.877976
4,Qg4,0.928762,0.939404,0.954022
5,Qg5,0.899915,0.899914,0.957638
6,Qg6,0.928449,0.931279,0.954199
7,Qg7,0.996822,0.999807,0.999807
8,Qg8,0.990376,0.999807,0.999807
9,Qg9,0.501329,0.502839,0.502839
10,Qg10,0.512696,0.513882,0.514882
11,Qg11,0.96109,0.991563,0.991563
12,Qg12,0.435578,0.437001,0.437101
13,Qg13,0.481536,0.483531,0.757337
14,AVG,0.7869452308,0.7948003077,0.8234085385
