X,Class,onlyGPU,CPU+GPU,CPU+GPUD,onlyGPUD
1,Qg1,1.1294345744,1,1.335560111,1.6080115018
2,Qg2,1.1152717436,1,1.3475977217,1.5878474345
3,Qg3,1.1213799344,1,1.2617469063,1.5965438577
4,Qg4,1.0639033712,1,1.4537637137,1.5649784937
5,Qg5,1.0623551466,1,1.3839875736,1.5303716035
6,Qg6,1.0608540612,1,1.4594820926,1.5604930257
7,Qg7,1.0752116567,1,1.5053341765,1.7345921137
8,Qg8,1.0852493889,1,1.4940178567,1.7507855498
9,Qg9,1.0147797428,1,0.9972502871,1.0109565496
10,Qg10,1.0217735408,1,1.0041929173,1.0179239983
11,Qg11,1.0725525733,1,0.9576439765,1.0276429286
12,Qg12,1.0367750631,1,0.9941809373,0.9997797202
13,Qg13,1.0849382394,1,1.1480424679,1.1799028517
14,GEOMEAN,1.0721040577,1,1.2401705192,1.3661107601
