X,Class,Naive,PrIS,ByE,ByE+PrIS,Chaining+PrIS
1,Qg1,1.3065700781,2.2481501802,1.5009729676,2.3636905262,2.2051989871
2,Qg2,1.3425288507,2.3517794225,1.4743092867,2.4028296319,2.2717219799
3,Qg3,1.2821461353,2.1061281199,1.6294298156,2.5922021972,2.360324645
4,Qg4,1.2103592557,1.2323120201,1.2299367533,1.2529026519,1.1355291881
5,Qg5,1.1946933626,1.1991992582,1.2110385791,1.2232706409,1.0859975908
6,Qg6,1.1958489379,1.1989594632,1.2097398594,1.2185765856,1.1138802149
7,Qg7,1.4756563407,3.7127380599,1.6119570392,4.1309277191,3.9827976501
8,Qg8,1.5122394381,3.70086357,1.6630255235,4.1567599155,3.3844808197
9,Qg9,1.3976732625,1.5387011094,1.6929365736,1.7701917818,1.7301305207
10,Qg10,1.5478183949,1.7314420547,1.910744407,2.0589151389,1.974415319
11,Qg11,0.9866374923,0.9979143711,0.9902949084,1.0032494195,0.9528789271
12,Qg12,1.0320916024,1.0374079437,1.0271580918,1.0332586114,1.0379555488
13,Qg13,1.8528809622,2.3661710483,2.7680061214,3.4046887486,3.0082047154
14,GEOMEAN,1.3157597499,1.777577735,1.4765940349,1.9544889487,1.8092116564
