X,Class,onlyCPU,CPU+GPU,CPU+GPUD,onlyCPUD
1,Qg1,3.265515934,1,1.306570078,3.801327406
2,Qg2,3.160224271,1,1.342528851,3.790847063
3,Qg3,3.313320972,1,1.282146135,3.176052543
4,Qg4,2.301104704,1,1.210359256,2.483831203
5,Qg5,1.65949062,1,1.194693362,1.897475757
6,Qg6,2.683742506,1,1.195848938,2.853286416
7,Qg7,18.66659505,1,1.47565634,18.51111594
8,Qg8,13.21406102,1,1.512239438,14.38414565
9,Qg9,2.009617293,1,1.397673262,2.066835983
10,Qg10,2.32231335,1,1.547818395,2.563594942
11,Qg11,1.26041689,1,0.9866374924,1.278814272
12,Qg12,1.776615774,1,1.032091603,2.049035252
13,Qg13,4.371659645,1,1.852880962,4.652983768
14,GEOMEAN,3.216778423,1,1.31575975,3.47029519
