X,Class,nodc,naive,bye+prio,chain+prio,bye,prio
1,4g2,1,1.5176602223,2.4744930633,2.3226049274,1.6984343811,2.357684018
2,4g8,1,1.5793845544,2.6597208887,2.5135885215,1.7299161928,2.5767157346
3,4g16,1,1.3138965765,2.3506064472,2.146133282,1.6294037709,1.9024295868
4,4g10,1,1.290312026,1.3377064183,1.3004711144,1.3229202935,1.3124800374
5,4g12,1,1.3455699365,1.372014763,1.3182760839,1.3647981763,1.3455634101
6,4g15,1,1.3024806391,1.325712544,1.301909117,1.3204367318,1.3015666997
7,4g23,1,1.5432674983,3.6212455075,3.5044158344,1.6840057744,3.279053967
8,4g26,1,1.554008523,3.6348551828,3.028521574,1.7033371246,3.247401837
9,4g4,1,1.4287016717,1.7943124737,1.7546272525,1.7190553348,1.5673758067
10,4g32,1,1.6263795019,2.1516155212,2.0638548439,2.0014085676,1.8150051085
11,4g6,1,1.0277659879,1.0421044381,1.0966342051,1.0326695451,1.0352245367
12,4g7,1,1.2062746899,1.2004434491,1.1980005568,1.1956608112,1.2114471356
13,4g21,1,1.9214867323,3.4755420352,3.0800528584,2.8509261057,2.4342624631
14,GEO,1,1.4189649825,2.0023268107,1.9049212253,1.5844012765,1.8230449879
