X,Class,cpu,gpu,inc
1,Qg1,0.8961663381,0.8616748593,53.72
2,Qg2,0.8321844865,0.8682590799,65.89
3,Qg3,0.8078739601,0.8201579997,72.83
4,Qg4,0.9768175394,0.9380064556,48.05
5,Qg5,0.812937738,0.921674931,79.52
6,Qg6,0.9814924328,0.9447542763,33.83
7,Qg7,0.9833553627,0.9813500426,36.21
8,Qg8,0.9538922905,0.941588949,43.8
9,Qg9,0.8236751885,0.9926567904,144.88
10,Qg10,0.878610492,0.9898501626,124.2
11,Qg11,0.889393974,0.7139960915,126.83
12,Qg12,0.7736565798,0.717736255,93.56
13,Qg13,0.8305850472,0.9895623367,55.94
14,GEOMEAN,0.877233585,0.8933292969,75.33
