X,Class,nop,6040p,4060p,,6040/nop,4060/nop
1,4g2,1.5411678435,1.2861662121,1.2689976023,,0.83454,0.8234
2,4g8,1.5993466581,1.4253857221,1.4271609969,,0.89123,0.89234
3,4g16,1.3209772441,1.1376652319,1.1523412891,,0.86123,0.87234
4,4g10,1.2557538682,1.1190397361,1.0681276933,,0.891129834,0.8505868231
5,4g12,1.3434764744,1.2092636314,1.1386476475,,0.90010034,0.8475382109
6,4g15,1.2647920146,1.1308348872,1.0870308953,,0.894087624,0.8594542682
7,4g23,1.5473513315,1.6592248328,1.5298749792,,1.0723,0.988705634
8,4g26,1.5603770309,1.6529698039,1.5335462417,,1.05934,0.982804932
9,4g4,1.4410605817,1.4444081654,1.4284224804,,1.002323,0.99123
10,4g32,1.6378350437,1.6631428708,1.6416675777,,1.015452,1.00234
11,4g6,1.0347576851,1.0198809739,1.0176148545,,0.985623,0.983433
12,4g7,1.2284308131,1.2189718958,1.2187507783,,0.9923,0.99212
13,4g21,1.9305700464,1.838559078,1.8038281229,,0.95234,0.93435
14,GEO,1.4219477738,1.347009869,1.3114929587,,0,0
