X,Class,noDC,naiveD,naiveDC,bye+prisD,bye+prisDC,chaining+prisD,chaining+prisDC,
1,Qg1,1,0.2027784394,0.2867823888,0.1961685485,0.3071577336,0.1971695878,0,0.97234
2,Qg2,1,0.1962326981,0.2887705944,0.1913297649,0.3296706843,0.1921359481,0,0.979123
3,Qg3,1,0.2119938927,0.3516373974,0.2040000244,0.364712349,0.2077800901,0,0.980123
4,Qg4,1,0.2434759039,0.3451049963,0.2425924503,0.3538146352,0.2519593835,0,1.0348432
5,Qg5,1,0.2095174916,0.3772399087,0.2090955852,0.3827252336,0.2045381408,0,0.9762342
6,Qg6,1,0.2397701218,0.3013231789,0.2390624098,0.309478139,0.2481595403,0,1.0349894242
7,Qg7,1,0.2100831892,0.2142397501,0.2039609301,0.2321667632,0.2297049591,0,1.0934
8,Qg8,1,0.2090896019,0.22445612,0.2025582552,0.2468312152,0.211661404,0,1.0123
9,Qg9,1,0.2228477352,0.3229583063,0.2149898955,0.3166138323,0.2257893253,0,1.0132
10,Qg10,1,0.2245033081,0.3150952548,0.2181229998,0.3237401471,0.2297566855,0,1.0234
11,Qg11,1,0.2955005886,0.4406388085,0.2952852034,0.4424698659,0.2917604377,0,0.987343
12,Qg12,1,0.207876961,0.3989373794,0.2063418948,0.4006361894,0.2085910184,0,1.003435
13,Qg13,1,0.2198328231,0.2975840671,0.2102001636,0.3174288889,0.2119900673,0,0.964324
14,GEOMEAN,1,0.221348665,0.3143301711,0.2165575838,0.3281471348,0,0,
