X,Class,pris,naiveD,chaining,bypass,GPUalone
1,Qg1,1.099489402,1.335560111,1.1579023245,1.2226922099,1.6080115018
2,Qg2,1.0817114137,1.3475977217,1.1606743144,1.2249035554,1.5878474345
3,Qg3,0.9677786085,1.2617469063,1.1234863142,1.2223014989,1.5965438577
4,Qg4,1.4179111009,1.4537637137,1.48882319,1.4630557647,1.5649784937
5,Qg5,1.3346195445,1.3839875736,1.3357667288,1.4082111698,1.5303716035
6,Qg6,1.4265868402,1.4594820926,1.4998368251,1.466429332,1.5604930257
7,Qg7,1.3515054809,1.5053341765,1.4573226062,1.4780395268,1.7345921137
8,Qg8,1.3053752752,1.4940178567,1.3045867371,1.438558189,1.7507855498
9,Qg9,0.9848014567,0.9972502871,0.9929758552,0.9924270684,1.0109565496
10,Qg10,0.9612902528,1.0041929173,0.9806748104,0.9813183127,1.0179239983
11,Qg11,0.9246737459,0.9576439765,0.9618644289,0.9719209736,1.0276429286
12,Qg12,0.948521465,0.9941809373,0.974414917,0.9344537282,0.9997797202
13,Qg13,1.0083787852,1.1460285203,1.0936421235,1.1099798812,1.1799028517
14,GEOMEAN,1.1243657656,1.2400030326,1.1784937037,1.20608683,1.3661107601
