X,Class,naive,bypass,chaining
1,Qg1,1.5662333536,2.8032840735,2.6252659597
2,Qg2,1.5972847548,2.9064226598,2.745485152
3,Qg3,1.3252098092,2.6681058108,2.4314096389
4,Qg4,1.2640599205,1.3137568409,1.3207398831
5,Qg5,1.3532313847,1.3762377546,1.4242400508
6,Qg6,1.269184665,1.2935221131,1.2785072458
7,Qg7,1.5473145146,4.9011764712,4.7166458331
8,Qg8,1.5585637539,4.885917661,4.5612914043
9,Qg9,1.4446759786,1.8260787921,1.784218521
10,Qg10,1.6452803153,2.1824988414,2.091371336
11,Qg11,1.0560517592,1.0409095605,1.1610235912
12,Qg12,1.2262652152,1.2366234213,1.2498973002
13,Qg13,1.9304648369,3.5533833574,3.2486556865
14,GEO,1.4284974313,2.1593592783,2.1051850338
