X,Class,naive,bypass,chaining
1,Qg1,1.3444647432,1.323735047,1.3197777015
2,Qg2,1.3757906604,1.2334043698,1.2180655535
3,Qg3,1.2657904682,1.2346181126,1.208884296
4,Qg4,1.3696556184,1.4640991559,1.4898849575
5,Qg5,1.3159215849,1.4126796768,1.3682589501
6,Qg6,1.3667505146,1.4683871054,1.5018391996
7,Qg7,1.505453275,1.4822428056,1.5689809626
8,Qg8,1.4939698964,1.4565040111,1.4841292166
9,Qg9,0.9982440529,1.1094633876,1.1100768925
10,Qg10,1.0038777554,1.098289707,1.0975695004
11,Qg11,0.9871732351,1.0250444026,1.0143279247
12,Qg12,1.0250443345,1.0695663445,1.1170542941
13,Qg13,1.1455587591,1.1125279958,1.0961527325
14,GEO,1.2320294845,1.2574136515,1.2637284395
