X,Class,bypass,mcc,pris,sms,pris+bye
1,Qg1,1.3914436632,1.3796762241,1.099489402,1.2120576998,1.2226922099
2,Qg2,1.3985860446,1.3837610325,1.0817114137,1.1935928252,1.2249035554
3,Qg3,1.3516135227,1.343949874,0.9677786085,1.0648926205,1.2223014989
4,Qg4,1.4905585954,1.492228021,1.4179111009,1.5358861254,1.4630557647
5,Qg5,1.4493413225,1.4667334184,1.334619544,1.3357476979,1.4082111698
6,Qg6,1.492595848,1.5438217375,1.42658684,1.5726170423,1.466429332
7,Qg7,1.5856245238,1.5479500851,1.351505481,1.2885658707,1.4780395268
8,Qg8,1.5745133979,1.5262451152,1.3053752752,1.2329791624,1.438558189
9,Qg9,0.9975343185,1.031789647,0.9848014581,0.9772184869,0.9924270684
10,Qg10,1.0029345665,1.04641178,0.961290254,0.9602533102,0.9813183127
11,Qg11,0.982492136,0.9760371627,0.9246737464,0.933109545,0.9619209736
12,Qg12,1.0096172015,0.9929282292,0.9585214652,0.9703112792,0.9544537282
13,Qg13,1.1633806013,1.2033310911,1.008378786,1.000442845,1.1099798812
14,GEO,1.2777465046,1.2840236396,1.1252731956,1.1577244327,1.2080531516
