X,Class,naive,bypass,chaining
1,Qg1,1.5865780267,2.9198781792,2.7928535051
2,Qg2,1.619776667,3.0469129054,2.9391342813
3,Qg3,1.494917735,2.8246051206,2.6587635497
4,Qg4,1.2769950262,1.2909564376,1.426913932
5,Qg5,1.3756835942,1.3935435616,1.4421494734
6,Qg6,1.277462406,1.3339740743,1.3051499104
7,Qg7,1.5884186411,4.3063165469,4.1011193826
8,Qg8,1.5654952808,4.3171004577,4.073438106
9,Qg9,1.4634877446,1.9029592837,1.8593366362
10,Qg10,1.6496976781,2.244777293,2.1734972018
11,Qg11,1.0821833069,1.0679877465,1.1912264195
12,Qg12,1.2463663252,1.2666036003,1.2801992856
13,Qg13,1.9596358615,3.6648949094,3.3872532859
14,GEO,1.45987969,2.1705977062,2.1457452084
