X,Class,naive,bypass,chaining
1,Qg1,1.3101061173,1.2202304294,1.1755709926
2,Qg2,1.3179276441,1.2149831452,1.1712740924
3,Qg3,1.2920834001,1.1955852119,1.1198929867
4,Qg4,1.4690728588,1.4599218665,1.4856340974
5,Qg5,1.41919995,1.4003358251,1.3282965257
6,Qg6,1.4727422488,1.4965744091,1.530668653
7,Qg7,1.5157858514,1.4775726091,1.456862233
8,Qg8,1.4947995345,1.435041264,1.3013973397
9,Qg9,0.9984250536,0.9932183169,0.9937675412
10,Qg10,1.0053552461,0.9869148782,0.9862677059
11,Qg11,0.97431524,0.9616094522,0.9515561643
12,Qg12,1.0604969264,1.0553355678,1.0884635312
13,Qg13,1.1458495362,1.1034013039,1.0871603761
14,GEO,1.251343397,1.2153490198,1.1914154484
